nama_variabel,nama_wilayah,tahun,jenis_kelamin,tipe_daerah,presentase
Keluhan Kesehatan Masyarakat,Jambi,2018,laki_laki,perkotaan,21.02545452
Keluhan Kesehatan Masyarakat,Sumatera Selatan,2018,laki_laki,perkotaan,28.40465396
Keluhan Kesehatan Masyarakat,Bengkulu,2018,laki_laki,perkotaan,23.8616907
Keluhan Kesehatan Masyarakat,Lampung,2018,laki_laki,perkotaan,29.0343616
Keluhan Kesehatan Masyarakat,Kepulauan Bangka Belitung,2018,laki_laki,perkotaan,26.94828822
Keluhan Kesehatan Masyarakat,Kepulauan Riau,2018,laki_laki,perkotaan,20.91929356
Keluhan Kesehatan Masyarakat,DKI Jakarta,2018,laki_laki,perkotaan,26.91834167
Keluhan Kesehatan Masyarakat,Jawa Barat,2018,laki_laki,perkotaan,28.64825936
Keluhan Kesehatan Masyarakat,Jawa Tengah,2018,laki_laki,perkotaan,32.98067195
Keluhan Kesehatan Masyarakat,DI Yogyakarta,2018,laki_laki,perkotaan,34.19168397
Keluhan Kesehatan Masyarakat,Jawa Timur,2018,laki_laki,perkotaan,31.52586597
Keluhan Kesehatan Masyarakat,Banten,2018,laki_laki,perkotaan,29.57509788
Keluhan Kesehatan Masyarakat,Bali,2018,laki_laki,perkotaan,26.25166904
Keluhan Kesehatan Masyarakat,Nusa Tenggara Barat,2018,laki_laki,perkotaan,38.02477601
Keluhan Kesehatan Masyarakat,Nusa Tenggara Timur,2018,laki_laki,perkotaan,33.60256669
Keluhan Kesehatan Masyarakat,Kalimantan Barat,2018,laki_laki,perkotaan,25.26293521
Keluhan Kesehatan Masyarakat,Kalimantan Tengah,2018,laki_laki,perkotaan,26.7117009
Keluhan Kesehatan Masyarakat,Kalimantan Selatan,2018,laki_laki,perkotaan,30.58016441
Keluhan Kesehatan Masyarakat,Kalimantan Timur,2018,laki_laki,perkotaan,27.00244916
Keluhan Kesehatan Masyarakat,Kalimantan Utara,2018,laki_laki,perkotaan,26.84194506
Keluhan Kesehatan Masyarakat,Sulawesi Utara,2018,laki_laki,perkotaan,25.66450918
Keluhan Kesehatan Masyarakat,Sulawesi Tengah,2018,laki_laki,perkotaan,29.7337899
Keluhan Kesehatan Masyarakat,Sulawesi Selatan,2018,laki_laki,perkotaan,28.7939233
Keluhan Kesehatan Masyarakat,Sulawesi Tenggara,2018,laki_laki,perkotaan,24.54941929
Keluhan Kesehatan Masyarakat,Gorontalo,2018,laki_laki,perkotaan,34.03425934
Keluhan Kesehatan Masyarakat,Sulawesi Barat,2018,laki_laki,perkotaan,31.39483773
Keluhan Kesehatan Masyarakat,Maluku,2018,laki_laki,perkotaan,18.12769124
Keluhan Kesehatan Masyarakat,Maluku Utara,2018,laki_laki,perkotaan,19.1683167
Keluhan Kesehatan Masyarakat,Papua Barat,2018,laki_laki,perkotaan,21.66654057
Keluhan Kesehatan Masyarakat,Papua,2018,laki_laki,perkotaan,19.97747045
Keluhan Kesehatan Masyarakat,INDONESIA,2018,laki_laki,perkotaan,28.93934909
Keluhan Kesehatan Masyarakat,Aceh,2018,laki_laki,perdesaan,28.91484792
Keluhan Kesehatan Masyarakat,Sumatera Utara,2018,laki_laki,perdesaan,24.24564021
Keluhan Kesehatan Masyarakat,Sumatera Barat,2018,laki_laki,perdesaan,26.82762487
Keluhan Kesehatan Masyarakat,Riau,2018,laki_laki,perdesaan,29.89481508
Keluhan Kesehatan Masyarakat,Jambi,2018,laki_laki,perdesaan,21.51324151
Keluhan Kesehatan Masyarakat,Sumatera Selatan,2018,laki_laki,perdesaan,25.87674453
Keluhan Kesehatan Masyarakat,Bengkulu,2018,laki_laki,perdesaan,26.72756586
Keluhan Kesehatan Masyarakat,Lampung,2018,laki_laki,perdesaan,29.59878077
Keluhan Kesehatan Masyarakat,Kepulauan Bangka Belitung,2018,laki_laki,perdesaan,26.80760916
Keluhan Kesehatan Masyarakat,Kepulauan Riau,2018,laki_laki,perdesaan,24.49187104
Keluhan Kesehatan Masyarakat,DKI Jakarta,2018,laki_laki,perdesaan,0
Keluhan Kesehatan Masyarakat,Jawa Barat,2018,laki_laki,perdesaan,31.89705198
Keluhan Kesehatan Masyarakat,Jawa Tengah,2018,laki_laki,perdesaan,31.71187387
Keluhan Kesehatan Masyarakat,DI Yogyakarta,2018,laki_laki,perdesaan,33.88027081
Keluhan Kesehatan Masyarakat,Jawa Timur,2018,laki_laki,perdesaan,33.13269163
Keluhan Kesehatan Masyarakat,Banten,2018,laki_laki,perdesaan,34.0243548
Keluhan Kesehatan Masyarakat,Bali,2018,laki_laki,perdesaan,34.50610583
Keluhan Kesehatan Masyarakat,Nusa Tenggara Barat,2018,laki_laki,perdesaan,35.45698647
Keluhan Kesehatan Masyarakat,Nusa Tenggara Timur,2018,laki_laki,perdesaan,36.79183643
Keluhan Kesehatan Masyarakat,Kalimantan Barat,2018,laki_laki,perdesaan,28.4269518
Keluhan Kesehatan Masyarakat,Kalimantan Tengah,2018,laki_laki,perdesaan,26.64456588
Keluhan Kesehatan Masyarakat,Kalimantan Selatan,2018,laki_laki,perdesaan,31.95994401
Keluhan Kesehatan Masyarakat,Kalimantan Timur,2018,laki_laki,perdesaan,24.40132532
Keluhan Kesehatan Masyarakat,Kalimantan Utara,2018,laki_laki,perdesaan,32.6549159
Keluhan Kesehatan Masyarakat,Sulawesi Utara,2018,laki_laki,perdesaan,30.20228642
